source_id,title,source_type,date,url,temporal_package,notes
BASE_01,Opta preview summary from teammate case,curated_summary,2024-07-13,https://theanalyst.com/articles/argentina-colombia-2024-copa-america-final,T3,Base preview used in Issue 19 packet
BASE_02,CONMEBOL preview summary from teammate case,curated_summary,2024-07-13,https://copaamerica.com/,T3,Base official tournament context used in Issue 19 packet
BASE_03,CONMEBOL final match info and probable lineups,official_facts,2024-07-13,https://copaamerica.com/en/news/final-argentina-colombia-copa-america-2024-when-where-watch-lineups,T0,Neutral match context and probable lineups
HIST_01,CONMEBOL titles and head-to-head context,official_facts,2024-07-13,https://copaamerica.com/en/news/final-argentina-colombia-copa-america-2024-when-where-watch-lineups,T0,Historical titles and Argentina-Colombia Copa America record
SQUAD_01,Pre-final key player context,curated_summary,2024-07-13,https://copaamerica.com/en/news/final-argentina-colombia-copa-america-2024-when-where-watch-lineups,T0,Key players expected around both finalist squads
FORM_01,Argentina 2-0 Canada semifinal report,match_report,2024-07-09,https://www.theguardian.com/football/article/2024/jul/09/copa-america-canada-argentina-semi-final-match-report-result,T1,Argentina semifinal performance and Messi/Alvarez goals
FORM_02,Colombia 1-0 Uruguay semifinal report,match_report,2024-07-10,https://www.theguardian.com/football/live/2024/jul/10/uruguay-v-colombia-copa-america-2024-semi-final-live,T1,Colombia reached final despite playing with 10 men
FORM_03,Sportsnet final preview streak context,preview,2024-07-13,https://www.sportsnet.ca/soccer/article/copa-america-preview-argentina-colombia-set-up-final-for-the-ages/,T3,Argentina recent-loss record and Colombia unbeaten streak
MARKET_01,CBS/SportsLine final odds,market_odds,2024-07-13,https://www.cbssports.com/soccer/news/argentina-vs-colombia-prediction-odds-line-start-time-2024-copa-america-final-picks-by-soccer-expert/,T2,Argentina favorite in 90-minute and trophy odds
MARKET_02,Fox/DraftKings Copa America outright odds,market_odds,2024-07-11,https://www.foxnews.com/sports/2024-copa-america-odds-picks-favorites,T2,Argentina favored to win tournament after semifinal
MARKET_03,FanDuel final model comparison,market_model,2024-07-13,https://www.fanduel.com/research/copa-america-2024-final-argentina-vs-colombia-picks-predictions-and-odds,T2,Opta and Massey probabilities plus market-implied Argentina edge
MODEL_01,Opta final analysis and title trajectory,model_preview,2024-07-13,https://theanalyst.com/articles/argentina-colombia-2024-copa-america-final,T2,Argentina golden era and Colombia moment
FACTS_01,CONMEBOL key facts and head-to-head,official_facts,2024-07-13,https://copaamerica.com/en/news/final-argentina-colombia-copa-america-2024-when-where-watch-lineups,T3,Historical Copa America head-to-head and tournament facts
LINEUP_01,CONMEBOL probable lineups,official_lineups,2024-07-13,https://copaamerica.com/en/news/final-argentina-colombia-copa-america-2024-when-where-watch-lineups,T3,Probable elevens and referee info
COL_01,Sportsnet final preview on James Rodriguez,preview,2024-07-13,https://www.sportsnet.ca/soccer/article/copa-america-preview-argentina-colombia-set-up-final-for-the-ages/,T3,James Rodriguez assist record and Colombia threat
COL_02,AP final preview juggernaut vs surging force,preview,2024-07-13,https://apnews.com/article/copa-america-argentina-colombia-messi-96c17d5f0900e7f3584e5866deff942b,T3,Argentina record-title chase vs Colombia surge
COACH_01,Scaloni pre-final press conference,press_conference,2024-07-13,https://as.com/us/futbol/copa-america/scaloni-es-un-placer-ver-jugar-a-james-n/,T3,Argentina coach praises James and Colombia while stressing Argentina's plan
